Sample	Location	Region	Het_muskoxmap	estimate
EU-7	EU	CaIN	0.00003719	transversions-only
FR-2	FR	CaIN	0.00004656	transversions-only
GF-1	GF	CaIN	0.00003211	transversions-only
GF-14	GF	CaIN	0.00003561	transversions-only
GF-15	GF	CaIN	0.00002977	transversions-only
GF-19	GF	CaIN	0.00004518	transversions-only
GF-2	GF	CaIN	0.00003067	transversions-only
GF-4	GF	CaIN	0.00003467	transversions-only
GF-5	GF	CaIN	0.00003103	transversions-only
HD-1	HD	GrES	0.00001168	transversions-only
HD-2	HD	GrES	0.00001206	transversions-only
HD-3	HD	GrES	0.00001500	transversions-only
HD-5	HD	GrES	0.00001435	transversions-only
JA-1	JA	GrES	0.00001308	transversions-only
JA-2	JA	GrES	0.00001427	transversions-only
JA-4	JA	GrES	0.00001398	transversions-only
KU-11	KU	CaMW	0.00009439	transversions-only
KU-12	KU	CaMW	0.00009738	transversions-only
KU-13	KU	CaMW	0.00010181	transversions-only
KU-16	KU	CaMW	0.00009390	transversions-only
KU-18	KU	CaMW	0.00008809	transversions-only
KU-2	KU	CaMW	0.00009542	transversions-only
KU-21	KU	CaMW	0.00009621	transversions-only
KU-23	KU	CaMW	0.00009321	transversions-only
KU-25	KU	CaMW	0.00009755	transversions-only
KU-27	KU	CaMW	0.00009996	transversions-only
KU-31	KU	CaMW	0.00008877	transversions-only
KU-32	KU	CaMW	0.00007576	transversions-only
KU-33	KU	CaMW	0.00008441	transversions-only
KU-39	KU	CaMW	0.00009250	transversions-only
KU-4	KU	CaMW	0.00009703	transversions-only
MO23	ZA	GrEN	0.00001358	transversions-only
MO25	ZA	GrEN	0.00001755	transversions-only
MO27	ZA	GrEN	0.00001534	transversions-only
MO28	ZA	GrEN	0.00001658	transversions-only
MO29	ZA	GrEN	0.00001863	transversions-only
MO30	ZA	GrEN	0.00001308	transversions-only
MO32	ZA	GrEN	0.00001773	transversions-only
MO33	ZA	GrEN	0.00001913	transversions-only
MO34	ZA	GrEN	0.00001816	transversions-only
MO35	ZA	GrEN	0.00001852	transversions-only
MO41	ZA	GrEN	0.00001747	transversions-only
MO42	ZA	GrEN	0.00001750	transversions-only
MO43	ZA	GrEN	0.00001700	transversions-only
MO44	ZA	GrEN	0.00001699	transversions-only
MO45	ZA	GrEN	0.00001725	transversions-only
MO46	ZA	GrEN	0.00001826	transversions-only
MO47	ZA	GrEN	0.00001439	transversions-only
MO48	ZA	GrEN	0.00001604	transversions-only
MO49	ZA	GrEN	0.00001712	transversions-only
MO50	ZA	GrEN	0.00001704	transversions-only
RY-3	RY	GrN	0.00002889	transversions-only
SF-1	SF	CaIN	0.00004760	transversions-only
SF-3	SF	CaIN	0.00004484	transversions-only
TH-27	TH	CaME	0.00011716	transversions-only
